id,date_created,date_updated,description,discount_price,image_path,on_discount,price,title
1,2019-12-25 12:57:58,2020-12-18 16:18:29,"Scala is a multi-paradigm, general-purpose programming language.",2,,False,20,The Art of Scala
2,2019-03-16 05:15:39,2020-12-29 08:40:44,Agile practices discover requirements and develop solutions through collaborative effort.,3,,True,30,The Joy of Agile
3,2020-09-13 14:40:39,2020-09-23 10:52:39,Pages is a word processor developed by Apple Inc.,5,,False,50,Talks About Pages
4,2020-07-20 17:51:23,2020-08-04 12:06:58,Microsoft Visual Studio is an integrated development environment (IDE) from Microsoft.,2,,False,20,This Is A Course About Visual Studio
5,2020-07-04 01:02:49,2021-01-31 15:07:20,"Scala is a multi-paradigm, general-purpose programming language.",3,,True,30,Even A Kid Can Learn Scala!
6,2018-11-01 18:54:31,2020-05-19 08:24:37,Amazon Aurora is a relational database service developed and offered by AWS.,1,,True,10,A Simple Approach to Aurora
7,2020-08-23 06:31:30,2021-02-09 01:22:38,"Amazon Web Services (AWS) is an on-demand cloud computing platform, and a subsidiary of Amazon.",4,,True,40,AWS: The Complete Blueprint
8,2018-02-05 06:12:43,2020-01-15 10:14:05,Microsoft Visual Studio is an integrated development environment (IDE) from Microsoft.,2,,True,20,Do not Visual Studio Without This Course
9,2020-11-04 00:45:40,2020-11-26 12:00:56,Keynote is a presentation program developed by Apple Inc.,2,,False,20,Essential KeyNote
10,2018-03-23 11:46:56,2018-07-26 16:24:09,Keynote is a presentation program developed by Apple Inc.,5,,False,50,Beginners Guide To KeyNote
11,2020-07-11 03:40:36,2020-07-29 22:05:07,PostgreSQL is a free and open-source relational database management system.,5,,True,50,PostgreSQL For The Common Person
12,2020-01-28 08:00:43,2020-05-08 18:42:30,Microsoft Visual Studio is an integrated development environment (IDE) from Microsoft.,1,,True,10,A Complete Guide To Visual Studio
13,2019-10-06 10:15:33,2020-08-27 13:19:38,Mockplus is tool for designing and rototyping user interfaces..,2,,False,20,How To Be Happy With Mockplus
14,2018-10-18 12:23:14,2020-07-10 17:21:17,Numbers is a spreadsheet application developed by Apple Inc.,2,,False,20,Cracking the Secrets of Numbers
15,2020-08-20 01:24:33,2020-09-16 22:40:02,Angular is a TypeScript-based open-source web application framework.,3,,False,30,It is Possible To Learn Angular In A Month
16,2019-11-01 20:42:14,2019-11-03 15:10:45,Visual Paradigm is a design tool supporting UML and BPMN.,1,,False,10,Learn The Art of Visual Paradigm
17,2021-02-18 23:44:51,2021-03-01 00:31:41,"Rust is low-level, modern programming language designed for performance and safety.",1,,True,10,The Best Way To Rust
18,2018-01-04 02:11:45,2018-03-24 07:49:35,Cascading Style Sheets (CSS) is a style sheet language used in web applications,2,,False,20,Essential CSS
19,2019-06-19 18:35:41,2020-09-16 07:19:51,Microsoft SQL Server is a relational database management system developed by Microsoft.,2,,True,20,Proactive SQL Server
20,2018-07-24 15:29:10,2019-03-15 04:08:27,TypeScript is a programming language which is transpiled to JavaScript.,5,,True,50,TypeScript for Idiots
21,2018-12-22 15:15:36,2019-07-09 14:52:38,Microsoft Excel is a spreadsheet developed by Microsoft.,1,,False,10,Microsoft Excel For Business
22,2019-07-13 01:41:20,2021-01-23 15:51:21,Microsoft Visual Studio is an integrated development environment (IDE) from Microsoft.,4,,True,40,The Art of Visual Studio
